s_name,aumdate,aumtotal,classification,schemecode
LIC MF Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,10376.53,Debt : Liquid,2137
HDFC Childrens Fund,2025-06-30T00:00:00.000Z,10368.6,Hybrid : Solution Oriented,1126
ICICI Pru Energy Opportunities Fund-Reg(G),2025-06-30T00:00:00.000Z,10359.04,Equity : Sectoral - Energy / Power,48896
Tata Balanced Adv Fund-Reg(G),2025-06-30T00:00:00.000Z,10353.09,Hybrid : Dynamic Asset Allocation,39531
Aditya Birla SL Short Term Fund(G),2025-06-30T00:00:00.000Z,10349.34,Debt : Short Duration,287
Bandhan Value Fund-Reg(G),2025-06-30T00:00:00.000Z,10229.09,Equity : Value / Contra,4270
HDFC Gold ETF,2025-06-30T00:00:00.000Z,10224.15,Gold : ETFs,12319
SBI Nifty Index Fund-Reg(G),2025-06-30T00:00:00.000Z,10166.67,Equity : Index Funds,2782
Quant Multi Cap Fund(G),2025-06-30T00:00:00.000Z,10129.78,Equity : Multi Cap,871
UTI Value Fund-Reg(G),2025-06-30T00:00:00.000Z,10117.32,Equity : Value / Contra,3644
ICICI Pru Banking & Fin Serv Fund(G),2025-06-30T00:00:00.000Z,10087.5,Equity : Sectoral - Financial Services,5736
Nippon India Nivesh Lakshya Long Duration Fund(G),2025-06-30T00:00:00.000Z,9841.24,Debt : Long Duration,35207
BHARAT Bond ETF - April 2025,2025-03-31T00:00:00.000Z,9793.92,Debt : ETFs,45007
BHARAT Bond FOF - April 2030 -Reg(G),2025-06-30T00:00:00.000Z,9767.76,FoFs : Domestic,44426
SBI Conservative Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,9748.22,Hybrid : Debt Oriented (Conservative),2797
Bandhan Large & Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,9735.36,Equity : Large & Mid Cap,2858
HDFC Overnight Fund(G),2025-06-30T00:00:00.000Z,9709.35,Debt : Overnight,1117
Motilal Oswal Nasdaq 100 ETF,2025-06-30T00:00:00.000Z,9544.58,Equity : ETFs,13397
Nippon India Ultra Short Duration Fund(G),2025-06-30T00:00:00.000Z,9543.02,Debt : Ultra Short Duration,2615
Nippon India Corp Bond Fund(G),2025-06-30T00:00:00.000Z,9542.42,Debt : Corporate Bond,2646
ICICI Pru Nifty PSU Bond Plus SDL Sep 2027 40:60 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,9448.72,Debt : Medium to Long Duration,45898
Nippon India Balanced Advantage Fund(G),2025-06-30T00:00:00.000Z,9390.89,Hybrid : Dynamic Asset Allocation,2654
SBI Dividend Yield Fund-Reg(G),2025-06-30T00:00:00.000Z,9320.7,Equity : Thematic - Dividend Yield,47653
Mirae Asset Aggressive Hybrid Fund-Reg(G),2025-06-30T00:00:00.000Z,9312.76,Hybrid : Equity Oriented,33228
Nippon India Flexi Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,9299.75,Equity : Flexi Cap,45335
Baroda BNP Paribas Liquid Fund(G),2025-06-30T00:00:00.000Z,9252.18,Debt : Liquid,7594
Axis Corp Bond Fund-Reg(G),2025-06-30T00:00:00.000Z,9184.61,Debt : Corporate Bond,36744
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,9159.72,Debt : Medium to Long Duration,45732
Quant Mid Cap Fund(G),2025-06-30T00:00:00.000Z,9140.41,Equity : Mid Cap,887
Canara Rob ELSS Tax Saver-Reg(G),2025-06-30T00:00:00.000Z,9102.87,Equity : Tax Saving (ELSS),7600
Aditya Birla SL Banking & PSU Debt Fund(G),2025-06-30T00:00:00.000Z,9094.89,Debt : Banking & PSU,5183
Bandhan Arbitrage Fund-Reg(G),2025-06-30T00:00:00.000Z,8985.53,Hybrid : Arbitrage,2854
Nippon India Value Fund(G),2025-06-30T00:00:00.000Z,8954.8,Equity : Value / Contra,2662
SBI Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,8940.04,Hybrid : Multi Asset Allocation,2796
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,8929.36,Debt : Medium Duration,45947
Tata Large & Mid Cap Fund-Reg(G),2025-06-30T00:00:00.000Z,8886.88,Equity : Large & Mid Cap,3096
Tata Value Fund(G),2025-06-30T00:00:00.000Z,8840.0,Equity : Value / Contra,3098
Nippon India Focused Fund(G),2025-06-30T00:00:00.000Z,8787.6,Equity : Flexi Cap,2641
HDFC BSE Sensex Index Fund(G)(Post Addendum),2025-06-30T00:00:00.000Z,8645.13,Equity : Index Funds,12635
Nippon India Pharma Fund(G),2025-06-30T00:00:00.000Z,8569.15,Equity : Sectoral - Pharma,2659
ICICI Pru Smallcap Fund(G),2025-06-30T00:00:00.000Z,8565.6,Equity : Small Cap,1625
UTI Nifty200 Momentum 30 Index Fund-Reg(G),2025-06-30T00:00:00.000Z,8542.91,Equity : Index Funds,45342
SBI Banking & Financial Services Fund-Reg(G),2025-06-30T00:00:00.000Z,8537.5,Equity : Sectoral - Financial Services,30125
Kotak Overnight Fund-Reg(G),2025-06-30T00:00:00.000Z,8535.7,Debt : Overnight,41944
Kotak Equity Savings Fund(G),2025-06-30T00:00:00.000Z,8444.38,Hybrid : Equity Oriented,30690
SBI Gold ETF,2025-06-30T00:00:00.000Z,8350.28,Gold : ETFs,7741
Nippon India Short Duration Fund(G),2025-06-30T00:00:00.000Z,8330.03,Debt : Short Duration,2664
Axis Overnight Fund-Reg(G),2025-06-30T00:00:00.000Z,8297.25,Debt : Overnight,42062
Axis Multicap Fund-Reg(G),2025-06-30T00:00:00.000Z,8272.23,Equity : Multi Cap,45362
Kotak Multi Asset Allocation Fund-Reg(G),2025-06-30T00:00:00.000Z,8219.73,Hybrid : Multi Asset Allocation,48028
Nippon India Floater Fund(G),2025-06-30T00:00:00.000Z,8197.36,Debt : Floater,2566
Mirae Asset Focused Fund-Reg(G),2025-06-30T00:00:00.000Z,8084.4,Equity : Multi Cap,42898
Nippon India Silver ETF,2025-06-30T00:00:00.000Z,8078.2,Gold : ETFs,46199
Aditya Birla SL Focused Fund(G),2025-06-30T00:00:00.000Z,8054.66,Equity : Large Cap,489
ICICI Pru Infrastructure Fund(G),2025-06-30T00:00:00.000Z,8042.75,Equity : Sectoral - Infrastructure,1629
Aditya Birla SL Balanced Advantage Fund(G),2025-06-30T00:00:00.000Z,8034.13,Hybrid : Dynamic Asset Allocation,1713
Nippon India Low Duration Fund(G),2025-06-30T00:00:00.000Z,7993.64,Debt : Low Duration,2621
Franklin India Large Cap Fund(G),2025-06-30T00:00:00.000Z,7983.82,Equity : Large Cap,931
Invesco India Large & Mid Cap Fund(G),2025-06-30T00:00:00.000Z,7886.66,Equity : Large & Mid Cap,2235
UTI Arbitrage Fund-Reg(G),2025-06-30T00:00:00.000Z,7863.14,Hybrid : Arbitrage,3660
ICICI Pru Gold ETF,2025-06-30T00:00:00.000Z,7849.81,Gold : ETFs,12328
Edelweiss Liquid Fund-Reg(G),2025-06-30T00:00:00.000Z,7826.45,Debt : Liquid,6688
Kotak Aggressive Hybrid Fund(G),2025-06-30T00:00:00.000Z,7808.18,Hybrid : Equity Oriented,31224
ICICI Pru Nifty Next 50 Index Fund(G),2025-06-30T00:00:00.000Z,7799.26,Equity : Index Funds,11889
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Reg(G),2025-06-30T00:00:00.000Z,7671.25,Debt : Medium to Long Duration,46381
Aditya Birla SL Equity Hybrid 95 Fund(G),2025-06-30T00:00:00.000Z,7649.51,Hybrid : Equity Oriented,430
Nippon India ETF Nifty Bank BeES,2025-06-30T00:00:00.000Z,7633.43,Equity : ETFs,267
Nippon India Power & Infra Fund(G),2025-06-30T00:00:00.000Z,7619.74,Equity : Sectoral - Energy / Power,2452
